architecture,mechanism,adaptivity,context_strength,observation_strength,replication,parameter,truth,estimate,se,covered,observed_rate
spaced,clean,0.0,0.0,0.0,58,delay_slope,0.25,0.2528083024102656,0.06287637390199424,true,1.0
spaced,clean,0.0,0.0,0.0,58,state_slope,-0.55,-0.5298595542983251,0.07838398781077457,true,1.0
spaced,clean,0.0,0.0,0.0,58,previous_failure,0.35,0.36319862021273164,0.15574864688862447,true,1.0
spaced,clean,0.0,0.0,0.0,58,retention,0.75,0.7652779896478779,0.06720219990625279,true,1.0
spaced,clean,0.0,0.0,0.0,59,delay_slope,0.25,0.19328194608993046,0.07557365709047703,true,1.0
spaced,clean,0.0,0.0,0.0,59,state_slope,-0.55,-0.6297748095525029,0.10518682522348761,true,1.0
spaced,clean,0.0,0.0,0.0,59,previous_failure,0.35,0.25684347319623235,0.19385129110944221,true,1.0
spaced,clean,0.0,0.0,0.0,59,retention,0.75,0.6881152809374624,0.08109509615077458,true,1.0
spaced,clean,0.0,0.0,0.0,60,delay_slope,0.25,0.23789930254399785,0.06320338680323749,true,1.0
spaced,clean,0.0,0.0,0.0,60,state_slope,-0.55,-0.511641178580456,0.07517622889003459,true,1.0
spaced,clean,0.0,0.0,0.0,60,previous_failure,0.35,0.4006001352049081,0.1566511207486861,true,1.0
spaced,clean,0.0,0.0,0.0,60,retention,0.75,0.7535575176358476,0.06419722049121361,true,1.0
spaced,clean,0.0,0.0,0.0,61,delay_slope,0.25,0.29260830840167074,0.06417863464914951,true,1.0
spaced,clean,0.0,0.0,0.0,61,state_slope,-0.55,-0.5763089150990881,0.07667389254960627,true,1.0
spaced,clean,0.0,0.0,0.0,61,previous_failure,0.35,0.2818670266426561,0.16400340329139196,true,1.0
spaced,clean,0.0,0.0,0.0,61,retention,0.75,0.7874529993141366,0.05520871995054463,true,1.0
spaced,clean,0.0,0.0,0.0,62,delay_slope,0.25,0.31497652342191296,0.07597545902402257,true,1.0
spaced,clean,0.0,0.0,0.0,62,state_slope,-0.55,-0.5716283712927795,0.11248316176431779,true,1.0
spaced,clean,0.0,0.0,0.0,62,previous_failure,0.35,0.10404098226057257,0.20784334245894487,true,1.0
spaced,clean,0.0,0.0,0.0,62,retention,0.75,0.7746987322235606,0.08284005733944637,true,1.0
