study,replication,n_participants,n_items,n_stages,context_strength,proxy_r2_target,proxy_r2_realized,estimator,truth,estimate,standard_error,normal_ci_low,normal_ci_high,participant_t_ci_low,participant_t_ci_high,converged,bias,squared_error,normal_covered,participant_t_covered,sign_error,failure_rate,planned_actual_spearman
context_proxy,4,30,100,2,1.0,1.0,1.0,plan_plus_proxy,0.2463448134054806,0.3127680931475307,0.09112290577240793,0.13416719783361114,0.4913689884614502,0.1264008251845368,0.4991353611105246,true,0.06642327974205009,0.004412052091690642,true,true,false,0.1085,0.7344199081227752
context_proxy,4,30,100,2,1.0,1.0,1.0,oracle,0.2463448134054806,0.31150111817891,0.08651029034695128,0.14194094909888552,0.4810612872589345,0.13456770801181864,0.48843452834600143,true,0.06515630477342943,0.004245344051728023,true,true,false,0.1085,0.7344199081227752
context_proxy,5,30,100,2,1.0,0.0,5.288558612609576e-33,plan_conditioned,0.255292778302318,0.7336376395068637,0.061438221337101306,0.6132187256861451,0.8540565533275822,0.6079823680683142,0.8592929109454132,true,0.47834486120454567,0.22881380624079606,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.0,5.288558612609576e-33,plan_plus_proxy,0.255292778302318,0.7327907073714259,0.06169331420075846,0.6118718115379393,0.8537096032049125,0.6066137124466283,0.8589677022962235,true,0.47749792906910793,0.22800427226528683,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.0,5.288558612609576e-33,oracle,0.255292778302318,0.23563760118294633,0.06804990942815276,0.10225977870376693,0.3690154236621257,0.09645990927604262,0.37481529308985007,true,-0.019655177119371675,0.00038632598759387183,true,true,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.25,0.24999999999999778,plan_conditioned,0.255292778302318,0.7336376395068637,0.061438221337101306,0.6132187256861451,0.8540565533275822,0.6079823680683142,0.8592929109454132,true,0.47834486120454567,0.22881380624079606,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.25,0.24999999999999778,plan_plus_proxy,0.255292778302318,0.669870837478657,0.06582532031867794,0.5408532096540483,0.7988884653032658,0.5352429411600168,0.8044987337972973,true,0.41457805917633905,0.17187496715042008,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.25,0.24999999999999778,oracle,0.255292778302318,0.23563760118294633,0.06804990942815276,0.10225977870376693,0.3690154236621257,0.09645990927604262,0.37481529308985007,true,-0.019655177119371675,0.00038632598759387183,true,true,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.5,0.49999999999999867,plan_conditioned,0.255292778302318,0.7336376395068637,0.061438221337101306,0.6132187256861451,0.8540565533275822,0.6079823680683142,0.8592929109454132,true,0.47834486120454567,0.22881380624079606,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.5,0.49999999999999867,plan_plus_proxy,0.255292778302318,0.5713718231496622,0.06893840459567611,0.436252550142137,0.7064910961571873,0.430376954589248,0.7123666917100764,true,0.31607904484734417,0.0999059625916094,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.5,0.49999999999999867,oracle,0.255292778302318,0.23563760118294633,0.06804990942815276,0.10225977870376693,0.3690154236621257,0.09645990927604262,0.37481529308985007,true,-0.019655177119371675,0.00038632598759387183,true,true,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.75,0.750000000000003,plan_conditioned,0.255292778302318,0.7336376395068637,0.061438221337101306,0.6132187256861451,0.8540565533275822,0.6079823680683142,0.8592929109454132,true,0.47834486120454567,0.22881380624079606,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.75,0.750000000000003,plan_plus_proxy,0.255292778302318,0.43646770250209443,0.07123911065818052,0.29683904561206065,0.5760963593921282,0.2907673617048119,0.582168043299377,true,0.18117492419977643,0.032824353158794735,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,0.75,0.750000000000003,oracle,0.255292778302318,0.23563760118294633,0.06804990942815276,0.10225977870376693,0.3690154236621257,0.09645990927604262,0.37481529308985007,true,-0.019655177119371675,0.00038632598759387183,true,true,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,1.0,0.9999999999999993,plan_conditioned,0.255292778302318,0.7336376395068637,0.061438221337101306,0.6132187256861451,0.8540565533275822,0.6079823680683142,0.8592929109454132,true,0.47834486120454567,0.22881380624079606,false,false,false,0.11333333333333333,0.7643089906752497
context_proxy,5,30,100,2,1.0,1.0,0.9999999999999993,plan_plus_proxy,0.255292778302318,0.22661280169972367,0.06909289637255438,0.09119072480951709,0.3620348785899302,0.08530196197777234,0.367923641421675,true,-0.02867997660259433,0.0008225410579253583,true,true,false,0.11333333333333333,0.7643089906752497
