participant_code,card_code,study_day,daily_review_index,first_ease,last_ease,last_scheduled_interval_days,next_gap_days,next_first_ease,scheduler_encoding
P02,C047,3,1,2,4,2.0,1.5300973842592591,4.0,mixed
P02,C047,5,2,4,4,6.0,6.020397777777778,3.0,mixed
P02,C048,3,1,1,4,2.0,1.5422295370370371,3.0,mixed
P02,C049,3,1,1,4,2.0,1.565941886574074,3.0,mixed
P02,C049,5,2,3,3,4.0,3.945101701388889,3.0,mixed
P02,C050,3,1,1,3,1.0,0.5252948842592593,3.0,mixed
P02,C050,4,2,3,3,5.0,4.976464363425926,2.0,mixed
P02,C052,3,1,1,4,2.0,1.5502736111111113,2.0,mixed
P02,C052,5,2,2,2,4.0,3.9497096527777775,2.0,mixed
P02,C053,3,1,2,3,4.0,3.526221909722222,3.0,mixed
P02,C054,3,1,2,3,4.0,3.528364039351852,4.0,mixed
P02,C055,3,1,2,3,3.0,2.5443262152777777,3.0,mixed
P02,C056,3,1,2,3,3.0,2.544711435185185,2.0,mixed
P02,C057,3,1,2,3,3.0,2.544548888888889,2.0,mixed
P02,C057,6,2,2,2,8.0,7.931248136574075,1.0,mixed
P02,C058,3,1,2,3,2.0,1.530535636574074,2.0,mixed
P02,C058,5,2,2,2,7.0,6.978110243055555,3.0,mixed
P02,C059,3,1,2,3,2.0,1.523248726851852,2.0,mixed
P02,C060,3,1,2,3,4.0,3.5277390972222222,2.0,mixed
P02,C061,4,1,1,3,1.0,1.0285759606481482,4.0,mixed
P02,C061,5,2,4,4,7.0,6.956553784722222,2.0,mixed
P02,C062,4,1,1,4,2.0,2.025768252314815,2.0,mixed
P02,C062,6,2,2,2,5.0,4.997743981481482,3.0,mixed
P02,C063,4,1,2,4,5.0,4.972686342592592,4.0,mixed
P02,C064,4,1,2,4,6.0,5.980663460648148,4.0,mixed
P02,C065,4,1,2,4,5.0,4.9642753125,2.0,mixed
P02,C067,4,1,3,4,10.0,9.94559875,3.0,mixed
P02,C068,4,1,2,4,5.0,4.957173055555555,2.0,mixed
P02,C069,4,1,2,4,6.0,5.973522696759259,4.0,mixed
P02,C070,4,1,3,4,4.0,3.9336536921296297,3.0,mixed
P02,C071,4,1,1,3,1.0,0.988902037037037,2.0,mixed
P02,C071,5,2,2,2,3.0,2.9476812731481483,2.0,mixed
P02,C072,4,1,1,4,2.0,2.015109976851852,3.0,mixed
P02,C073,4,1,2,4,6.0,5.969188773148148,4.0,mixed
P02,C074,4,1,2,4,6.0,5.965889780092592,3.0,mixed
P02,C075,4,1,2,4,2.0,2.002164305555556,2.0,mixed
P02,C075,6,2,2,2,4.0,3.957549444444445,1.0,mixed
P02,C075,10,3,1,1,0.0069444444444444,2.0065525578703705,2.0,mixed
P02,C076,4,1,1,4,2.0,2.0108880208333333,2.0,mixed
P02,C076,6,2,2,2,7.0,6.930719305555556,3.0,mixed
P02,C077,4,1,2,4,4.0,3.932819861111111,3.0,mixed
P02,C078,4,1,2,4,4.0,3.932339097222222,2.0,mixed
P02,C079,4,1,2,3,2.0,2.0002795138888887,2.0,mixed
